     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1296.527;          25.166;          25.832;          25.310;           0.138 ( 0.547 %);  38583.411
        r8;           2.000;           0.002;           0.000;        128;        500;         454.719;          74.250;         173.832;          91.513;          18.552 (20.273 %);  10671.316
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         665.624;          25.166;         506.750;          41.343;          83.911 (202.962 %);  23620.728
        r8;           2.000;           0.002;           0.000;        128;        500;        1463.719;          74.334;         170.832;          96.328;          15.358 (15.944 %);  10137.850
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         733.982;          27.832;          52.000;          28.669;           4.190 (14.615 %);  34063.253
        r8;           2.000;           0.002;           0.000;        128;        500;         395.615;          95.082;         159.834;          97.222;          11.241 (11.562 %);  10044.660
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1383.151;          25.166;          53.250;          26.856;           6.372 (23.727 %);  36362.835
        r8;           2.000;           0.002;           0.000;        128;        500;         686.463;          74.250;         163.084;          77.644;          15.692 (20.210 %);  12577.427
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         569.977;          21.750;          22.668;          21.902;           0.158 ( 0.722 %);  44588.810
        r8;           2.000;           0.002;           0.000;        128;        500;        3296.789;          74.582;          98.250;          75.409;           4.101 ( 5.439 %);  12950.206
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1256.173;          27.750;          28.750;          27.909;           0.163 ( 0.585 %);  34990.915
        r8;           2.000;           0.002;           0.000;        128;        500;         762.543;          74.582;          97.334;          80.972;           9.718 (12.001 %);  12060.496
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1451.849;          25.166;          25.582;          25.265;           0.073 ( 0.290 %);  38652.549
        r8;           2.000;           0.002;           0.000;        128;        500;        1815.867;          74.250;         194.000;          88.922;          22.441 (25.237 %);  10982.260
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         690.771;          27.750;          28.500;          27.952;           0.155 ( 0.553 %);  34937.124
        r8;           2.000;           0.002;           0.000;        128;        500;        1923.052;          95.082;         130.334;          96.298;           6.111 ( 6.346 %);  10141.047
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         571.631;          27.832;          28.250;          27.894;           0.089 ( 0.319 %);  35009.617
        r8;           2.000;           0.002;           0.000;        128;        500;        1108.829;          95.082;          95.500;          95.235;           0.105 ( 0.111 %);  10254.249
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         926.501;          27.668;          29.000;          27.917;           0.209 ( 0.750 %);  34981.495
        r8;           2.000;           0.002;           0.000;        128;        500;         658.256;          74.500;         131.250;          79.303;          11.735 (14.798 %);  12314.315
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1454.829;          25.166;          25.666;          25.268;           0.077 ( 0.305 %);  38648.840
        r8;           2.000;           0.002;           0.000;        128;        500;         766.200;          74.332;         156.582;          87.578;          16.760 (19.137 %);  11150.720
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1286.713;          25.166;          25.668;          25.290;           0.089 ( 0.352 %);  38614.016
        r8;           2.000;           0.002;           0.000;        128;        500;        1697.779;          74.250;         100.418;          84.657;           8.100 ( 9.568 %);  11535.565
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         672.999;          21.750;          22.334;          21.879;           0.096 ( 0.438 %);  44634.634
        r8;           2.000;           0.002;           0.000;        128;        500;         677.296;          74.500;          74.916;          74.657;           0.085 ( 0.114 %);  13080.725
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         779.606;          25.250;         127.334;          30.922;          17.431 (56.371 %);  31581.851
        r8;           2.000;           0.002;           0.000;        128;        500;         796.989;          74.584;         129.082;          97.108;          10.132 (10.434 %);  10056.408
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         858.964;          25.250;         460.250;          40.601;          75.922 (186.995 %);  24052.653
        r8;           2.000;           0.002;           0.000;        128;        500;        1018.817;          74.332;         152.332;          90.263;          15.059 (16.684 %);  10819.133
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         729.091;          21.750;          22.334;          21.894;           0.111 ( 0.506 %);  44603.374
        r8;           2.000;           0.002;           0.000;        128;        500;        1330.515;          74.500;          74.918;          74.671;           0.098 ( 0.131 %);  13078.123
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         498.292;          25.166;          25.750;          25.275;           0.099 ( 0.391 %);  38636.978
        r8;           2.000;           0.002;           0.000;        128;        500;         691.170;          95.082;         101.000;          95.429;           1.005 ( 1.054 %);  10233.371
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        2022.334;          25.166;          25.666;          25.288;           0.089 ( 0.350 %);  38617.718
        r8;           2.000;           0.002;           0.000;        128;        500;         627.707;          74.250;         186.334;          78.990;          20.491 (25.941 %);  12363.125
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1283.702;          25.166;          98.500;          29.818;          13.221 (44.337 %);  32750.638
        r8;           2.000;           0.002;           0.000;        128;        500;         710.613;          95.084;          96.916;          95.361;           0.335 ( 0.351 %);  10240.674
