     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
        r8;           2.000;           0.002;           0.000;        128;        500;         624.065;         135.000;         186.584;         136.843;           8.948 ( 6.539 %);   7136.348
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         748.085;         220.334;         277.668;         225.904;          12.904 ( 5.712 %);   4322.903
        r8;           2.000;           0.002;           0.000;        128;        500;         789.680;         134.916;         157.750;         135.990;           4.033 ( 2.966 %);   7181.135
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1206.637;         167.584;         322.668;         236.859;          52.354 (22.104 %);   4122.973
        r8;           2.000;           0.002;           0.000;        128;        500;         676.206;         134.916;         157.750;         135.803;           3.942 ( 2.903 %);   7191.021
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         602.255;         220.250;         251.500;         222.783;           7.307 ( 3.280 %);   4383.474
        r8;           2.000;           0.002;           0.000;        128;        500;         571.924;         134.916;         135.500;         135.111;           0.110 ( 0.081 %);   7227.865
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         673.846;         220.334;         282.168;         243.362;          28.181 (11.580 %);   4012.806
        r8;           2.000;           0.002;           0.000;        128;        500;         591.192;         134.916;         203.166;         137.336;          11.856 ( 8.633 %);   7110.776
