     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         726.694;         135.500;         248.750;         168.545;          22.503 (13.352 %);   5794.060
        r8;           2.000;           0.002;           0.000;        128;        500;         883.895;         135.000;         165.250;         139.306;           9.370 ( 6.726 %);   7010.221
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         395.357;         150.750;         221.916;         163.401;          15.530 ( 9.504 %);   5976.470
        r8;           2.000;           0.002;           0.000;        128;        500;         667.504;         134.916;         188.500;         143.770;          16.219 (11.282 %);   6792.536
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         630.721;         135.500;         263.500;         164.480;          24.638 (14.979 %);   5937.279
        r8;           2.000;           0.002;           0.000;        128;        500;         809.230;         135.000;         136.584;         135.409;           0.505 ( 0.373 %);   7211.948
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        2460.186;         135.500;         216.916;         167.411;          17.474 (10.438 %);   5833.312
        r8;           2.000;           0.002;           0.000;        128;        500;         757.286;         134.916;         165.250;         136.237;           5.236 ( 3.843 %);   7168.104
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         753.628;         153.168;         274.250;         178.295;          18.252 (10.237 %);   5477.219
        r8;           2.000;           0.002;           0.000;        128;        500;        3284.249;         134.918;         140.916;         135.293;           1.018 ( 0.752 %);   7218.116
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         634.948;         135.332;         173.332;         160.947;          17.388 (10.803 %);   6067.613
        r8;           2.000;           0.002;           0.000;        128;        500;        1930.681;         134.916;         140.832;         135.268;           1.005 ( 0.743 %);   7219.480
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         813.780;         135.416;         271.250;         166.139;          25.943 (15.615 %);   5877.992
        r8;           2.000;           0.002;           0.000;        128;        500;         896.078;         134.918;         140.666;         135.288;           0.975 ( 0.721 %);   7218.397
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         650.803;         150.666;         230.084;         159.121;          17.280 (10.859 %);   6137.217
        r8;           2.000;           0.002;           0.000;        128;        500;         642.387;         134.916;         191.916;         157.871;          18.762 (11.885 %);   6185.817
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1269.127;         172.750;         197.668;         173.917;           4.423 ( 2.543 %);   5615.115
        r8;           2.000;           0.002;           0.000;        128;        500;         678.734;         134.916;         208.082;         148.869;          21.762 (14.618 %);   6559.893
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        1926.600;         172.750;         178.416;         173.056;           0.978 ( 0.565 %);   5643.055
        r8;           2.000;           0.002;           0.000;        128;        500;        1604.795;         134.916;         172.666;         144.687;          16.206 (11.201 %);   6749.490
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         889.383;         135.416;         141.168;         135.712;           0.983 ( 0.725 %);   7195.826
        r8;           2.000;           0.002;           0.000;        128;        500;        2422.956;         135.000;         135.416;         135.121;           0.112 ( 0.083 %);   7227.320
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        3068.103;         135.416;         201.250;         159.998;          19.734 (12.334 %);   6103.603
        r8;           2.000;           0.002;           0.000;        128;        500;         669.598;         134.918;         171.250;         139.947;          10.436 ( 7.457 %);   6978.078
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         587.583;         135.334;         175.916;         142.076;          12.580 ( 8.854 %);   6873.531
        r8;           2.000;           0.002;           0.000;        128;        500;         892.948;         134.916;         152.582;         135.851;           3.154 ( 2.322 %);   7188.484
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;         901.238;         150.668;         229.250;         159.543;          18.225 (11.423 %);   6120.993
        r8;           2.000;           0.002;           0.000;        128;        500;         675.955;         135.000;         172.750;         155.268;          18.445 (11.880 %);   6289.538
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;        500;        3419.295;         135.416;         155.082;         136.343;           3.506 ( 2.572 %);   7162.522
        r8;           2.000;           0.002;           0.000;        128;        500;         961.187;         135.000;         156.084;         136.119;           3.842 ( 2.822 %);   7174.353
